DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ASV Groups
COLOR	#ff0000

LEGEND_TITLE	ASV Group
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#947fff	#ffd17f	#e7b9d8
LEGEND_LABELS	H_skin_only	H_nose_only	H_shared

DATA
g__Roseburia_ASV-1	#e7b9d8	H_shared
g__Corynebacterium_ASV-9	#e7b9d8	H_shared
g__Corynebacterium_ASV-16	#e7b9d8	H_shared
g___ASV-62	#e7b9d8	H_shared
g__Chryseobacterium_796614_ASV-1	#e7b9d8	H_shared
g__Cloacibacterium_ASV-1	#e7b9d8	H_shared
g__Sphingomicrobium_483265_ASV-1	#e7b9d8	H_shared
g__Phocaeicola_A_858004_ASV-1	#e7b9d8	H_shared
g__Dialister_ASV-4	#e7b9d8	H_shared
g__Acinetobacter_ASV-3	#e7b9d8	H_shared
g__Dictyoglomus_ASV-1	#e7b9d8	H_shared
g__Flavisolibacter_B_ASV-1	#e7b9d8	H_shared
g__Nocardioides_A_392796_ASV-1	#e7b9d8	H_shared
g___ASV-123	#e7b9d8	H_shared
g__Escherichia_710834_ASV-2	#e7b9d8	H_shared
g__Corynebacterium_ASV-1	#e7b9d8	H_shared
g__Nitrosocosmicus_ASV-1	#e7b9d8	H_shared
g___ASV-151	#e7b9d8	H_shared
g__Sphingobacterium_ASV-1	#e7b9d8	H_shared
g__Collinsella_ASV-1	#e7b9d8	H_shared
g__Bosea_ASV-3	#e7b9d8	H_shared
g__Capnocytophaga_820688_ASV-4	#e7b9d8	H_shared
g__Veillonella_A_ASV-3	#e7b9d8	H_shared
g__Prevotella_ASV-16	#e7b9d8	H_shared
g___ASV-96	#e7b9d8	H_shared
g__Brevibacterium_ASV-4	#e7b9d8	H_shared
g__Massilia_ASV-1	#e7b9d8	H_shared
g__Finegoldia_ASV-1	#e7b9d8	H_shared
g__Granulicatella_ASV-2	#e7b9d8	H_shared
g__Corynebacterium_ASV-14	#e7b9d8	H_shared
g___ASV-2	#e7b9d8	H_shared
g__Prevotella_ASV-9	#e7b9d8	H_shared
g__Veillonella_A_ASV-5	#e7b9d8	H_shared
